threshold,precision,recall,f1,f2,predicted_suspicious,model
0.5,0.05056049478160031,0.8831870357866306,0.09564549742239772,0.205699188526137,25870,Random Forest
0.6,0.08096645675363064,0.8507765023632681,0.14786129202605175,0.2932141859815694,15562,Random Forest
0.7,0.14273689273689275,0.8014854827819041,0.2423190772685516,0.41678370786516855,8316,Random Forest
0.8,0.2874828060522696,0.7056043214044565,0.40852228303362004,0.5466052934407365,3635,Random Forest
0.9,0.666083916083916,0.5145172180958811,0.5805714285714285,0.5390492359932089,1144,Random Forest
0.5,0.08031990859754357,0.949358541525996,0.14810913304540188,0.3000554867898758,17505,XGBoost
0.6,0.10475471698113208,0.937204591492235,0.18844613400312266,0.36194847188901635,13250,XGBoost
0.7,0.14296103896103896,0.9291019581363943,0.24779398523320728,0.442472184706412,9625,XGBoost
0.8,0.21734252284019875,0.9155975692099932,0.35129533678756475,0.5574282660527831,6239,XGBoost
0.9,0.39223880597014926,0.887238352464551,0.5439867522252122,0.7084321759758464,3350,XGBoost
0.5,0.07269458001541228,0.9554355165428764,0.13510932875011936,0.2786639883414077,19465,LightGBM
0.6,0.09186420644822378,0.9446320054017556,0.16744464392579295,0.3306859547109157,15229,LightGBM
0.7,0.12012846107108759,0.9345037137069547,0.21289032456545146,0.39667526511894524,11521,LightGBM
0.8,0.17043326257959795,0.9216745442268738,0.2876712328767123,0.48984425464724035,8009,LightGBM
0.9,0.2999325994158616,0.9014179608372721,0.45010114632501685,0.6433734939759036,4451,LightGBM
